TRADEDATE,Perceptron_ACCURACY_CUMULATIVE
2025-01-17,1.0
2025-05-11,1.0
2024-09-04,0.6666666666666666
2023-07-06,0.5
2025-06-20,0.6
2023-03-16,0.5
2024-03-01,0.5714285714285714
2024-10-23,0.5
2024-08-01,0.5555555555555556
2023-10-30,0.5
2024-04-26,0.45454545454545453
2024-10-28,0.4166666666666667
2023-09-07,0.46153846153846156
2024-12-09,0.5
2025-06-01,0.5333333333333333
2025-06-11,0.5625
2025-03-18,0.5882352941176471
2024-11-02,0.6111111111111112
2025-06-19,0.631578947368421
2024-11-18,0.65
2024-10-24,0.6190476190476191
2023-02-03,0.5909090909090909
2023-04-03,0.6086956521739131
2024-09-16,0.625
2023-12-14,0.64
2023-04-13,0.6153846153846154
2024-03-19,0.5925925925925926
2023-02-17,0.5714285714285714
2025-05-10,0.5862068965517241
2025-06-13,0.6
2024-03-05,0.5806451612903226
2023-06-02,0.59375
2025-04-05,0.6060606060606061
2023-02-22,0.6176470588235294
2025-08-12,0.6285714285714286
2024-06-13,0.6111111111111112
2023-09-29,0.5945945945945946
2023-11-02,0.5789473684210527
2025-07-28,0.5897435897435898
2023-03-13,0.575
2023-04-11,0.5609756097560976
2025-04-27,0.5714285714285714
2025-07-05,0.5813953488372093
2024-07-31,0.5909090909090909
2023-05-15,0.5777777777777777
2023-10-25,0.5869565217391305
2024-06-03,0.574468085106383
2025-05-23,0.5833333333333334
2025-07-08,0.5918367346938775
2023-11-28,0.58
2025-05-06,0.5882352941176471
2024-03-14,0.5961538461538461
2025-08-04,0.6037735849056604
2023-02-15,0.5925925925925926
2025-02-24,0.6
2024-08-21,0.5892857142857143
2025-08-24,0.5964912280701754
2024-10-04,0.5862068965517241
2025-09-23,0.5932203389830508
2025-06-02,0.6
2024-05-17,0.6065573770491803
2025-05-04,0.6129032258064516
2023-12-22,0.6190476190476191
2023-06-19,0.609375
2023-07-12,0.6153846153846154
2023-09-06,0.6212121212121212
2025-07-02,0.6268656716417911
2023-06-05,0.6176470588235294
2024-12-10,0.6231884057971014
2025-04-14,0.6285714285714286
2024-11-21,0.6197183098591549
2025-08-20,0.625
2025-07-03,0.6301369863013698
2025-01-16,0.6351351351351351
2025-06-15,0.64
2024-03-27,0.6447368421052632
2023-02-10,0.6363636363636364
2024-08-30,0.6410256410256411
2025-08-29,0.6455696202531646
2024-07-16,0.6375
2024-05-14,0.6296296296296297
2025-06-27,0.6341463414634146
2025-02-03,0.6385542168674698
2025-06-30,0.6428571428571429
2024-09-26,0.6352941176470588
2024-12-16,0.6395348837209303
2025-05-14,0.6436781609195402
2025-09-08,0.6477272727272727
2023-05-17,0.651685393258427
2023-12-27,0.6444444444444445
2023-10-09,0.6483516483516484
2024-02-12,0.6413043478260869
2023-01-23,0.6451612903225806
2023-05-29,0.648936170212766
2023-09-01,0.6421052631578947
2024-06-26,0.6354166666666666
2024-02-07,0.6288659793814433
2023-12-20,0.6326530612244898
2025-07-26,0.6363636363636364
2025-04-22,0.64
2023-05-19,0.6435643564356436
2023-05-23,0.6470588235294118
2023-11-17,0.6504854368932039
2024-10-18,0.6538461538461539
2024-08-06,0.6571428571428571
2025-08-05,0.660377358490566
2024-11-14,0.6542056074766355
2025-06-08,0.6574074074074074
2023-08-21,0.6513761467889908
2024-09-20,0.6545454545454545
2023-12-12,0.6486486486486487
2025-07-15,0.6517857142857143
2025-03-02,0.6548672566371682
2023-01-26,0.6491228070175439
2025-03-27,0.6521739130434783
2025-04-03,0.6551724137931034
2024-09-24,0.6495726495726496
2024-01-05,0.652542372881356
2023-10-12,0.6554621848739496
2024-09-10,0.6583333333333333
2025-02-10,0.6611570247933884
2025-09-04,0.6639344262295082
2024-09-27,0.6666666666666666
2024-07-19,0.6612903225806451
2023-02-06,0.664
2023-04-14,0.6587301587301587
2025-05-03,0.6614173228346457
2025-05-07,0.6640625
2023-10-04,0.6666666666666666
2024-05-13,0.6615384615384615
2024-04-24,0.6564885496183206
2023-12-15,0.6515151515151515
2024-05-21,0.6466165413533834
2024-11-12,0.6492537313432836
2023-05-31,0.6444444444444445
2024-11-13,0.6470588235294118
2023-10-13,0.6496350364963503
2024-06-17,0.644927536231884
2024-05-16,0.6474820143884892
2023-02-16,0.6428571428571429
2023-10-16,0.6453900709219859
2023-07-10,0.647887323943662
2025-08-19,0.6503496503496503
2023-09-05,0.6458333333333334
2024-03-28,0.6413793103448275
2024-02-08,0.636986301369863
2024-05-07,0.6326530612244898
2023-10-24,0.6283783783783784
