TRADEDATE,SGDClassifier_ACCURACY_CUMULATIVE
2025-01-17,1.0
2025-05-11,1.0
2024-09-04,1.0
2023-07-06,0.75
2025-06-20,0.8
2023-03-16,0.6666666666666666
2024-03-01,0.7142857142857143
2024-10-23,0.625
2024-08-01,0.6666666666666666
2023-10-30,0.6
2024-04-26,0.5454545454545454
2024-10-28,0.5
2023-09-07,0.5384615384615384
2024-12-09,0.5714285714285714
2025-06-01,0.6
2025-06-11,0.625
2025-03-18,0.6470588235294118
2024-11-02,0.6111111111111112
2025-06-19,0.631578947368421
2024-11-18,0.65
2024-10-24,0.6190476190476191
2023-02-03,0.6363636363636364
2023-04-03,0.6521739130434783
2024-09-16,0.6666666666666666
2023-12-14,0.68
2023-04-13,0.6538461538461539
2024-03-19,0.6296296296296297
2023-02-17,0.6071428571428571
2025-05-10,0.6206896551724138
2025-06-13,0.6333333333333333
2024-03-05,0.6451612903225806
2023-06-02,0.65625
2025-04-05,0.6666666666666666
2023-02-22,0.6764705882352942
2025-08-12,0.6857142857142857
2024-06-13,0.6944444444444444
2023-09-29,0.6756756756756757
2023-11-02,0.6578947368421053
2025-07-28,0.6666666666666666
2023-03-13,0.65
2023-04-11,0.6341463414634146
2025-04-27,0.6428571428571429
2025-07-05,0.6511627906976745
2024-07-31,0.6363636363636364
2023-05-15,0.6222222222222222
2023-10-25,0.6304347826086957
2024-06-03,0.6382978723404256
2025-05-23,0.6458333333333334
2025-07-08,0.6530612244897959
2023-11-28,0.64
2025-05-06,0.6470588235294118
2024-03-14,0.6538461538461539
2025-08-04,0.660377358490566
2023-02-15,0.6666666666666666
2025-02-24,0.6727272727272727
2024-08-21,0.6785714285714286
2025-08-24,0.6842105263157895
2024-10-04,0.6724137931034483
2025-09-23,0.6779661016949152
2025-06-02,0.6833333333333333
2024-05-17,0.6885245901639344
2025-05-04,0.6935483870967742
2023-12-22,0.6984126984126984
2023-06-19,0.6875
2023-07-12,0.6923076923076923
2023-09-06,0.696969696969697
2025-07-02,0.7014925373134329
2023-06-05,0.6911764705882353
2024-12-10,0.6956521739130435
2025-04-14,0.7
2024-11-21,0.6901408450704225
2025-08-20,0.6944444444444444
2025-07-03,0.6986301369863014
2025-01-16,0.7027027027027027
2025-06-15,0.7066666666666667
2024-03-27,0.7105263157894737
2023-02-10,0.7012987012987013
2024-08-30,0.7051282051282052
2025-08-29,0.7088607594936709
2024-07-16,0.7
2024-05-14,0.691358024691358
2025-06-27,0.6951219512195121
2025-02-03,0.6987951807228916
2025-06-30,0.7023809523809523
2024-09-26,0.6941176470588235
2024-12-16,0.6976744186046512
2025-05-14,0.7011494252873564
2025-09-08,0.7045454545454546
2023-05-17,0.7078651685393258
2023-12-27,0.7
2023-10-09,0.7032967032967034
2024-02-12,0.6956521739130435
2023-01-23,0.6989247311827957
2023-05-29,0.7021276595744681
2023-09-01,0.6947368421052632
2024-06-26,0.6875
2024-02-07,0.6804123711340206
2023-12-20,0.6836734693877551
2025-07-26,0.6868686868686869
2025-04-22,0.69
2023-05-19,0.693069306930693
2023-05-23,0.696078431372549
2023-11-17,0.6893203883495146
2024-10-18,0.6923076923076923
2024-08-06,0.6952380952380952
2025-08-05,0.6981132075471698
2024-11-14,0.6915887850467289
2025-06-08,0.6944444444444444
2023-08-21,0.6972477064220184
2024-09-20,0.7
2023-12-12,0.6936936936936937
2025-07-15,0.6964285714285714
2025-03-02,0.6991150442477876
2023-01-26,0.6929824561403509
2025-03-27,0.6956521739130435
2025-04-03,0.6982758620689655
2024-09-24,0.6923076923076923
2024-01-05,0.6949152542372882
2023-10-12,0.6974789915966386
2024-09-10,0.7
2025-02-10,0.7024793388429752
2025-09-04,0.7049180327868853
2024-09-27,0.7073170731707317
2024-07-19,0.7016129032258065
2023-02-06,0.696
2023-04-14,0.6904761904761905
2025-05-03,0.6929133858267716
2025-05-07,0.6953125
2023-10-04,0.6976744186046512
2024-05-13,0.6923076923076923
2024-04-24,0.6870229007633588
2023-12-15,0.6818181818181818
2024-05-21,0.6766917293233082
2024-11-12,0.6791044776119403
2023-05-31,0.674074074074074
2024-11-13,0.6764705882352942
2023-10-13,0.6788321167883211
2024-06-17,0.6739130434782609
2024-05-16,0.6762589928057554
2023-02-16,0.6714285714285714
2023-10-16,0.6737588652482269
2023-07-10,0.676056338028169
2025-08-19,0.6783216783216783
2023-09-05,0.6736111111111112
2024-03-28,0.6689655172413793
2024-02-08,0.6643835616438356
2024-05-07,0.6598639455782312
2023-10-24,0.6554054054054054
