TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,VOLUME
2023-01-03,71.8,71.8,69.67,71.1375,14204677795.0,8016
2023-01-04,71.695,72.135,70.9,72.0,13420382037.5,7435
2023-01-05,72.0125,72.2775,71.02,72.18,11137094715.0,6989
2023-01-06,71.875,72.4575,71.5225,72.1225,10805260700.0,6711
2023-01-09,72.175,72.3,69.3275,69.99,94559856080.0,35610
2023-01-10,69.9875,70.15,69.22,69.8,59237693320.0,19376
2023-01-11,69.9125,70.405,68.2675,68.7325,87172466022.5,32616
2023-01-12,68.7,68.9675,67.5,67.7575,84964450802.5,28419
2023-01-13,67.7475,68.93,67.0875,68.7875,92723080150.0,34067
2023-01-16,68.7875,69.1825,67.7575,68.43,101945288647.5,32027
2023-01-17,68.3925,69.4075,68.0525,69.15,75978934900.0,23842
2023-01-18,69.3,69.8325,68.68,68.7475,77797794720.0,25791
2023-01-19,68.935,69.3,68.71,68.8,64840974150.0,19771
2023-01-20,68.9225,68.985,68.4975,68.83,59325865417.5,19721
2023-01-23,68.85,68.94,68.465,68.925,48446968025.0,17991
2023-01-24,68.925,69.17,68.66,69.0,61302991460.0,17569
2023-01-25,69.32,69.32,68.7775,69.305,75815979390.0,22174
2023-01-26,69.1025,69.73,68.7875,69.265,65991025652.5,21356
2023-01-27,69.495,69.5225,69.195,69.46,76098950495.0,18477
2023-01-30,69.37,70.405,69.2275,70.405,64605974817.5,19437
2023-01-31,70.5,70.83,69.7475,69.82,82095212557.5,26328
2023-02-01,70.07,70.4725,69.8775,70.1975,53042616997.5,16865
2023-02-02,70.0875,70.4875,69.8,70.455,54347074512.5,17509
2023-02-03,70.2325,70.795,70.2075,70.6,66066908325.0,18835
2023-02-06,70.6075,71.1275,70.4425,70.95,46175641495.0,16147
2023-02-07,71.0125,71.2475,70.7025,71.15,54064117437.5,18211
2023-02-08,71.1,72.4,70.92,72.3025,77327691860.0,23815
2023-02-09,72.5425,73.385,72.3525,73.0,85236626190.0,26032
2023-02-10,73.005,73.395,72.535,73.39,68790122910.0,22603
2023-02-13,73.415,73.8775,73.195,73.825,63983485405.0,20588
2023-02-14,73.83,73.985,72.915,73.8,80581644085.0,24859
2023-02-15,73.4225,74.66,73.4225,74.5725,70079839455.0,25000
2023-02-16,74.5,74.91,74.5,74.855,67948854512.5,20511
2023-02-17,74.65,75.3,73.9125,74.29,123697998865.0,51712
2023-02-20,74.215,74.8675,73.5875,74.5,82587960612.5,23975
2023-02-21,74.5625,75.145,74.4625,75.0475,87736162720.0,24877
2023-02-22,75.02,75.2175,74.365,75.0,119283438192.5,29109
2023-02-24,75.0,76.3625,74.7675,76.13,24378814000.0,13587
2023-02-27,75.9125,76.4875,74.5025,74.6025,113293968642.5,31672
2023-02-28,74.635,75.29,73.98,74.97,85136185730.0,22170
2023-03-01,75.0025,75.41,74.7125,75.15,76708297467.5,18635
2023-03-02,75.0425,75.6675,75.0425,75.3175,71942145800.0,20207
2023-03-03,75.065,75.79,75.065,75.6325,54708896437.5,13027
2023-03-06,75.65,75.915,75.2425,75.445,62741506680.0,16674
2023-03-07,75.375,76.1125,75.2225,76.0225,60754978382.5,14456
2023-03-09,75.85,76.3,75.6075,75.845,63893515157.5,15417
2023-03-10,75.86,76.11,75.795,76.1,56092089702.5,15064
2023-03-13,75.9025,76.1075,74.88,75.0,107329291610.0,24383
2023-03-14,74.825,75.5,74.73,75.32,71011442985.0,15345
2023-03-15,75.33,76.22,75.18,75.985,68806928575.0,21932
2023-03-16,75.75,77.49,75.75,76.4,131986449820.0,40201
2023-03-17,76.4,77.145,76.015,77.06,67965862892.5,16495
2023-03-20,76.945,77.7575,76.555,77.17,79233004762.5,22621
2023-03-21,77.005,77.315,76.625,76.66,59061591127.5,17078
2023-03-22,76.61,77.1,76.61,77.0575,83870017757.5,24199
2023-03-23,76.775,76.935,75.7125,76.0,90630795382.5,22645
2023-03-24,76.0725,77.2,76.0,77.075,88124881210.0,24601
2023-03-27,76.74,77.2425,76.41,76.68,75906523045.0,21881
2023-03-28,76.6725,77.0275,76.3175,76.9,76210870627.5,19981
2023-03-29,76.74,77.2,76.6675,77.155,68988972080.0,15874
2023-03-30,77.155,77.3075,76.8775,77.08,91447564652.5,23607
2023-03-31,76.9525,77.95,76.87,77.5975,85699661877.5,22708
2023-04-03,77.3025,78.8675,77.2925,78.74,71781898232.5,21819
2023-04-04,78.73,79.6,78.68,79.52,96984395677.5,25495
2023-04-05,79.4125,79.87,79.2,79.835,81214377047.5,19766
2023-04-06,79.835,81.47,79.7125,81.375,95237594155.0,24373
2023-04-07,81.4125,83.5,80.735,81.1275,146021547395.0,40030
2023-04-10,80.72,82.11,80.72,81.6125,100617666602.5,28578
2023-04-11,81.555,82.5725,81.55,81.965,83223979115.0,20566
2023-04-12,82.0125,82.5925,81.795,81.95,64815943860.0,17818
2023-04-13,81.955,82.1075,81.2525,81.4,76399574252.5,18894
2023-04-14,81.575,81.905,81.0325,81.79,74306269477.5,19716
2023-04-17,81.8,82.2,81.175,81.4025,80295381155.0,21200
2023-04-18,81.5425,81.9475,81.2125,81.45,68099634567.5,15719
2023-04-19,81.45,81.91,81.45,81.8975,73827680072.5,17042
2023-04-20,81.7575,81.9075,81.285,81.555,94475148900.0,17386
2023-04-21,81.73,81.815,81.25,81.7,76168057700.0,19860
2023-04-24,81.605,81.825,80.79,81.33,81407224652.5,18752
2023-04-25,81.33,81.68,81.11,81.6175,79781688460.0,18674
2023-04-26,81.4625,81.7625,81.4125,81.6175,90734546655.0,18097
2023-04-27,81.6675,81.99,81.175,81.3325,90723557447.5,17457
2023-04-28,81.29,81.64,79.0175,80.25,165832275362.5,42649
2023-05-02,80.15,80.62,79.555,79.62,103804193105.0,25417
2023-05-03,79.35,80.0175,78.9025,79.205,101523231332.5,21443
2023-05-04,79.2225,79.43,77.6125,78.05,121652655950.0,26292
2023-05-05,78.17,78.2575,76.255,77.38,147517782980.0,33101
2023-05-08,77.44,78.49,76.6125,78.1875,12426536080.0,4934
2023-05-10,78.03,78.3,75.8325,76.0575,126899280297.5,32809
2023-05-11,76.0,77.21,75.2325,76.9,134779709085.0,34548
2023-05-12,76.95,78.09,76.1975,77.92,115186169207.5,27099
2023-05-15,77.8875,79.5075,77.6675,79.1525,101198490800.0,24696
2023-05-16,79.1525,80.57,79.0675,80.395,83970253147.5,21366
2023-05-17,80.615,81.06,79.77,79.8625,92923654457.5,21868
2023-05-18,79.7,80.49,79.4725,80.2225,79406535187.5,20935
2023-05-19,80.2775,80.58,79.6525,80.0,69740159445.0,16641
2023-05-22,79.755,80.15,79.755,80.15,56730500100.0,15479
2023-05-23,80.0,80.4775,79.76,80.135,77057158085.0,17567
2023-05-24,80.13,80.33,79.85,80.1475,65200980525.0,14809
2023-05-25,79.975,80.4,79.735,80.1675,62047067700.0,16560
2023-05-26,80.1675,80.2575,79.805,80.06,75509693507.5,20828
