TRADEDATE,OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME
2024-09-25,,,,,,
2024-09-26,,,,,,
2024-09-27,,,,,,
2024-09-30,,,,,,
2024-10-01,,,,,,
2024-10-02,79.84,79.84,79.84,79.84,377265.55,5.0
2024-10-03,,,,,,
2024-10-04,79.99,80.5,80.5,79.99,608543.6,8.0
2024-10-07,81.65,80.58,81.65,78.33,3861040.39,51.0
2024-10-08,81.19,79.95,81.19,79.95,309736.54,4.0
2024-10-09,79.85,78.4,79.85,78.4,461396.35,6.0
2024-10-10,77.5,77.5,77.5,77.5,75360.54,1.0
2024-10-11,81.25,81.21,81.25,79.26,1241907.63,16.0
2024-10-14,81.25,79.94,81.25,78.35,305806.5,4.0
2024-10-15,80.22,78.07,80.54,77.75,1747479.01,23.0
2024-10-16,,,,,,
2024-10-17,,,,,,
2024-10-18,78.0,76.34,78.0,76.34,446739.46,6.0
2024-10-21,76.79,77.0,77.0,76.79,147780.5,2.0
2024-10-22,78.05,78.05,78.05,78.05,75389.9,1.0
2024-10-23,78.2,79.7,79.7,78.2,305172.83,4.0
2024-10-24,79.56,78.28,79.6,78.28,381340.19,5.0
2024-10-25,77.77,78.5,78.5,77.77,151059.48,2.0
2024-10-28,76.83,76.41,76.83,75.9,518848.45,7.0
2024-10-29,76.8,76.2,76.8,76.2,148908.93,2.0
2024-10-30,75.78,75.9,75.9,75.78,147209.99,2.0
2024-10-31,,,,,,
2024-11-01,78.35,78.29,79.42,78.29,230017.34,3.0
2024-11-02,77.14,77.14,77.14,77.14,75249.99,1.0
2024-11-05,79.47,79.47,79.47,79.47,77925.26,1.0
2024-11-06,79.2,79.28,79.28,79.2,233457.85,3.0
2024-11-07,79.5,79.5,79.5,79.5,77967.72,1.0
2024-11-08,78.63,76.88,78.63,76.88,378146.03,5.0
2024-11-11,77.91,76.0,79.93,75.78,1209215.29,16.0
2024-11-12,75.77,76.44,76.44,75.39,296796.58,4.0
2024-11-13,,,,,,
2024-11-14,73.99,73.62,73.99,73.62,219116.93,3.0
2024-11-15,,,,,,
2024-11-18,74.79,74.79,74.79,74.79,74747.37,1.0
2024-11-19,,,,,,
2024-11-20,,,,,,
2024-11-21,76.29,76.29,76.29,76.29,76808.62,1.0
2024-11-22,75.43,75.43,75.43,75.43,77373.15,1.0
2024-11-25,76.6,77.17,77.17,76.6,239694.47,3.0
2024-11-26,73.59,73.62,73.62,73.51,231889.32,3.0
2024-11-27,73.8,75.12,75.12,73.8,400210.95,5.0
2024-11-28,74.88,75.0,75.0,74.88,164235.81,2.0
2024-11-29,75.58,75.58,75.58,75.58,81430.57,1.0
2024-12-02,76.66,76.66,76.66,76.66,328643.88,4.0
2024-12-03,76.4,76.4,76.4,76.4,81127.48,1.0
2024-12-04,,,,,,
2024-12-05,76.37,75.37,76.37,75.37,235559.75,3.0
2024-12-06,74.9,74.9,74.9,74.9,74466.7,1.0
2024-12-09,,,,,,
2024-12-10,74.04,75.56,75.56,74.04,224352.67,3.0
2024-12-11,,,,,,
2024-12-12,74.93,76.9,76.9,74.93,315321.94,4.0
2024-12-13,75.6,75.6,75.6,75.6,78193.46,1.0
2024-12-16,,,,,,
2024-12-17,75.95,75.95,75.95,75.95,2581488.03,33.0
2024-12-18,75.46,75.46,75.46,75.46,77555.0,1.0
2024-12-19,75.3,75.3,75.3,75.3,389378.95,5.0
2024-12-20,,,,,,
2024-12-23,76.09,75.32,76.26,73.41,837444.08,11.0
2024-12-24,76.13,76.13,76.13,76.13,76033.24,1.0
2024-12-25,,,,,,
2024-12-26,76.71,75.45,76.71,75.45,525330.91,7.0
2024-12-27,75.98,75.98,75.98,75.98,152762.5,2.0
2024-12-28,76.47,76.47,76.47,76.47,77754.47,1.0
2024-12-30,75.18,76.53,76.53,75.18,308516.54,4.0
2025-01-03,76.77,76.77,76.77,76.77,234178.53,3.0
2025-01-06,77.76,78.59,78.59,77.28,714015.19,9.0
2025-01-08,77.65,77.42,77.65,76.45,391517.69,5.0
2025-01-09,,,,,,
2025-01-10,78.4,78.4,78.4,77.77,477561.62,6.0
2025-01-13,79.74,79.58,79.74,79.32,326837.72,4.0
2025-01-14,78.12,78.12,78.12,78.12,161611.54,2.0
2025-01-15,78.78,78.99,78.99,78.78,162199.86,2.0
2025-01-16,80.05,78.21,80.05,78.21,487361.91,6.0
2025-01-17,78.28,78.58,78.58,78.12,401246.64,5.0
2025-01-20,,,,,,
2025-01-21,77.67,76.89,77.82,75.6,1379398.86,18.0
2025-01-22,77.35,77.0,78.24,77.0,759884.41,10.0
2025-01-23,77.57,77.57,77.57,77.57,76870.16,1.0
2025-01-24,76.52,77.48,77.48,76.52,302435.72,4.0
2025-01-27,77.22,77.22,77.22,77.22,75005.33,1.0
2025-01-28,76.0,76.93,76.93,76.0,224645.38,3.0
2025-01-29,76.02,76.02,76.02,76.02,74509.18,1.0
2025-01-30,75.22,75.22,75.22,75.22,73720.26,1.0
2025-01-31,76.18,76.18,76.18,76.18,149024.38,2.0
2025-02-03,75.84,76.0,76.0,75.69,378905.03,5.0
2025-02-04,76.65,74.8,77.27,74.8,748618.87,10.0
2025-02-05,,,,,,
2025-02-06,74.8,75.07,75.07,74.8,145239.62,2.0
2025-02-07,75.2,74.65,75.2,74.4,218141.87,3.0
2025-02-10,74.9,76.22,76.22,74.9,878375.0,12.0
2025-02-11,77.0,76.82,83.1,76.82,4418952.77,59.0
2025-02-12,76.76,75.71,76.76,72.02,2795958.45,40.0
2025-02-13,75.55,75.21,75.96,74.55,688287.66,10.0
2025-02-14,75.8,75.09,75.91,75.09,272708.8,4.0
