TRADEDATE,ACCURACY_CUMULATIVE
2025-01-17,1.0
2025-05-11,1.0
2024-09-04,1.0
2023-07-06,0.75
2025-06-20,0.8
2023-03-16,0.6666666666666666
2024-03-01,0.7142857142857143
2024-10-23,0.625
2024-08-01,0.6666666666666666
2023-10-30,0.6
2024-04-26,0.5454545454545454
2024-10-28,0.5
2023-09-07,0.5384615384615384
2024-12-09,0.5714285714285714
2025-06-01,0.6
2025-06-11,0.625
2025-03-18,0.6470588235294118
2024-11-02,0.6666666666666666
2025-06-19,0.6842105263157895
2024-11-18,0.7
2024-10-24,0.6666666666666666
2023-02-03,0.6818181818181818
2023-04-03,0.6956521739130435
2024-09-16,0.7083333333333334
2023-12-14,0.68
2023-04-13,0.6538461538461539
2024-03-19,0.6296296296296297
2023-02-17,0.6071428571428571
2025-05-10,0.6206896551724138
2025-06-13,0.6333333333333333
2024-03-05,0.6129032258064516
2023-06-02,0.625
2025-04-05,0.6363636363636364
2023-02-22,0.6470588235294118
2025-08-12,0.6571428571428571
2024-06-13,0.6388888888888888
2023-09-29,0.6216216216216216
2023-11-02,0.6052631578947368
2025-07-28,0.6153846153846154
2023-03-13,0.6
2023-04-11,0.5853658536585366
2025-04-27,0.5952380952380952
2025-07-05,0.6046511627906976
2024-07-31,0.5909090909090909
2023-05-15,0.5777777777777777
2023-10-25,0.5869565217391305
2024-06-03,0.574468085106383
2025-05-23,0.5833333333333334
2025-07-08,0.5918367346938775
2023-11-28,0.58
2025-05-06,0.5882352941176471
2024-03-14,0.5961538461538461
2025-08-04,0.6037735849056604
2023-02-15,0.6111111111111112
2025-02-24,0.6181818181818182
2024-08-21,0.625
2025-08-24,0.631578947368421
2024-10-04,0.6206896551724138
2025-09-23,0.6271186440677966
2025-06-02,0.6333333333333333
2024-05-17,0.639344262295082
2025-05-04,0.6451612903225806
2023-12-22,0.6507936507936508
2023-06-19,0.65625
2023-07-12,0.6615384615384615
2023-09-06,0.6666666666666666
2025-07-02,0.6716417910447762
2023-06-05,0.6617647058823529
2024-12-10,0.6666666666666666
2025-04-14,0.6714285714285714
2024-11-21,0.6619718309859155
2025-08-20,0.6666666666666666
2025-07-03,0.6575342465753424
2025-01-16,0.6621621621621622
2025-06-15,0.6666666666666666
2024-03-27,0.6710526315789473
2023-02-10,0.6623376623376623
2024-08-30,0.6538461538461539
2025-08-29,0.6582278481012658
2024-07-16,0.65
2024-05-14,0.6419753086419753
2025-06-27,0.6463414634146342
2025-02-03,0.6506024096385542
2025-06-30,0.6547619047619048
2024-09-26,0.6470588235294118
2024-12-16,0.6511627906976745
2025-05-14,0.6551724137931034
2025-09-08,0.6590909090909091
2023-05-17,0.6629213483146067
2023-12-27,0.6555555555555556
2023-10-09,0.6483516483516484
2024-02-12,0.6413043478260869
2023-01-23,0.6451612903225806
2023-05-29,0.648936170212766
2023-09-01,0.6421052631578947
2024-06-26,0.6354166666666666
2024-02-07,0.6391752577319587
2023-12-20,0.6428571428571429
2025-07-26,0.6464646464646465
2025-04-22,0.65
2023-05-19,0.6534653465346535
2023-05-23,0.6568627450980392
2023-11-17,0.6504854368932039
2024-10-18,0.6538461538461539
2024-08-06,0.6571428571428571
2025-08-05,0.660377358490566
2024-11-14,0.6542056074766355
2025-06-08,0.6574074074074074
2023-08-21,0.6513761467889908
2024-09-20,0.6545454545454545
2023-12-12,0.6486486486486487
2025-07-15,0.6517857142857143
2025-03-02,0.6548672566371682
2023-01-26,0.6491228070175439
2025-03-27,0.6521739130434783
2025-04-03,0.6551724137931034
2024-09-24,0.6495726495726496
2024-01-05,0.652542372881356
2023-10-12,0.6554621848739496
2024-09-10,0.6583333333333333
2025-02-10,0.6611570247933884
2025-09-04,0.6639344262295082
2024-09-27,0.6666666666666666
2024-07-19,0.6612903225806451
2023-02-06,0.656
2023-04-14,0.6507936507936508
2025-05-03,0.6535433070866141
2025-05-07,0.65625
2023-10-04,0.6589147286821705
2024-05-13,0.6538461538461539
2024-04-24,0.648854961832061
2023-12-15,0.6439393939393939
2024-05-21,0.6466165413533834
2024-11-12,0.6492537313432836
2023-05-31,0.6444444444444445
2024-11-13,0.6470588235294118
2023-10-13,0.6496350364963503
2024-06-17,0.644927536231884
2024-05-16,0.6402877697841727
2023-02-16,0.6357142857142857
2023-10-16,0.6312056737588653
2023-07-10,0.6267605633802817
2025-08-19,0.6293706293706294
2023-09-05,0.625
2024-03-28,0.6206896551724138
2024-02-08,0.6232876712328768
2024-05-07,0.6190476190476191
2023-10-24,0.6148648648648649
